,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,R2Campaign,Age
0,2,3,58138.0,0,0,9.0,58,1,65
1,2,3,46344.0,1,1,8.0,38,0,68
2,2,4,71613.0,0,0,8.0,26,0,57
3,2,4,26646.0,1,0,8.0,26,0,38
4,4,2,58293.0,1,0,8.0,94,0,41
5,3,4,62513.0,0,1,8.0,16,0,55
6,2,1,55635.0,0,1,9.0,34,0,51
7,4,2,33454.0,1,0,9.0,32,0,37
8,4,4,30351.0,1,0,8.0,19,1,48
9,4,4,5648.0,1,1,8.0,68,1,72
11,1,2,7500.0,0,0,9.0,59,0,46
12,2,1,63033.0,0,0,8.0,82,0,63
13,3,1,59354.0,1,1,8.0,53,0,70
14,2,2,17323.0,0,0,9.0,38,0,35
15,4,3,82800.0,0,0,9.0,23,1,76
16,2,2,41850.0,1,1,9.0,51,0,42
17,2,4,37760.0,0,0,9.0,20,0,76
18,3,2,76995.0,0,1,9.0,91,1,73
19,0,3,33812.0,1,0,9.0,86,0,37
20,2,2,37040.0,0,0,9.0,41,0,40
21,2,2,2447.0,1,0,9.0,42,0,43
22,4,2,58607.0,0,1,9.0,63,1,73
23,4,2,65324.0,0,1,8.0,0,0,68
24,2,4,40689.0,0,1,9.0,69,0,71
25,2,3,18589.0,0,0,9.0,89,0,53
26,2,2,53359.0,1,1,8.0,4,0,46
28,2,2,38360.0,1,0,8.0,26,0,33
29,4,2,84618.0,0,0,8.0,96,1,57
30,3,1,10979.0,0,0,7.0,34,0,33
31,3,4,38620.0,0,0,9.0,56,0,59
32,2,4,40548.0,0,1,9.0,31,1,52
33,4,1,46610.0,0,2,9.0,8,1,70
34,3,2,68657.0,0,0,9.0,4,0,76
35,3,3,49389.0,1,1,8.0,55,0,71
36,4,2,67353.0,0,1,8.0,37,0,52
37,0,2,23718.0,1,0,8.0,76,0,46
38,2,5,42429.0,0,1,8.0,99,0,49
39,4,1,48948.0,0,0,9.0,53,1,79
40,2,2,80011.0,0,1,9.0,3,0,42
41,3,2,20559.0,1,0,9.0,88,0,37
42,2,4,21994.0,0,1,9.0,4,0,65
44,3,2,7500.0,1,0,8.0,19,0,47
45,2,3,79941.0,0,0,7.0,72,0,46
46,0,2,7500.0,0,0,9.0,24,1,26
47,2,4,41728.0,1,0,8.0,92,0,54
49,4,2,72550.0,1,1,9.0,39,0,68
50,2,5,65486.0,0,1,8.0,29,0,65
51,3,2,79143.0,0,0,9.0,2,0,58
52,2,3,35790.0,1,0,9.0,54,0,45
53,2,1,82582.0,0,0,7.0,54,1,45
54,2,2,66373.0,1,1,8.0,57,0,44
55,3,4,82384.0,0,0,9.0,55,1,67
56,2,1,70287.0,0,0,9.0,30,1,56
57,2,3,27938.0,1,0,8.0,31,0,34
59,4,2,55954.0,0,1,8.0,63,0,54
60,3,3,75777.0,0,0,8.0,12,1,40
61,2,4,66653.0,1,1,9.0,18,0,47
62,2,3,61823.0,0,1,9.0,26,0,70
63,4,5,67680.0,0,1,8.0,8,0,71
64,2,4,70666.0,0,0,8.0,29,0,74
65,2,2,25721.0,1,0,9.0,75,1,51
66,2,4,32474.0,1,1,8.0,0,0,55
67,0,3,88194.0,0,1,8.0,19,1,43
68,2,4,69096.0,0,1,8.0,4,0,64
69,2,4,74854.0,1,2,9.0,90,0,52
70,3,2,66991.0,0,0,9.0,1,0,68
72,2,2,65031.0,0,1,9.0,29,0,63
73,4,2,60631.0,1,1,9.0,88,1,47
74,2,2,28332.0,0,0,8.0,58,0,70
75,2,1,40246.0,1,0,9.0,68,0,45
76,3,2,75251.0,0,0,9.0,34,1,50
77,2,3,75825.0,0,0,9.0,40,1,46
78,0,4,26326.0,0,0,8.0,12,0,46
79,2,4,56046.0,0,0,9.0,9,1,57
80,2,3,29760.0,1,0,9.0,87,0,37
81,2,2,26304.0,1,0,8.0,5,0,53
82,0,2,23559.0,1,0,8.0,87,0,49
83,3,4,38620.0,0,0,9.0,56,0,59
84,2,1,81361.0,0,0,8.0,18,0,35
85,2,2,29440.0,1,1,8.0,95,0,62
86,3,2,36138.0,1,1,8.0,48,1,52
87,2,3,50388.0,0,1,7.0,3,1,65
88,2,2,79593.0,0,0,8.0,70,1,49
89,2,4,54178.0,0,1,8.0,79,0,55
93,3,3,42394.0,1,0,8.0,69,0,50
94,4,2,23626.0,1,0,7.0,84,0,52
95,2,2,30096.0,1,0,7.0,30,0,39
96,2,5,47916.0,0,1,9.0,72,1,62
97,2,1,51813.0,1,1,9.0,37,0,50
98,0,2,78497.0,0,0,8.0,44,1,71
99,4,2,50150.0,0,0,8.0,32,0,39
100,0,3,47823.0,0,1,8.0,0,0,62
101,4,3,34554.0,0,1,8.0,43,0,63
102,2,4,85693.0,0,1,9.0,59,0,43
103,4,2,65846.0,0,0,9.0,68,0,77
104,2,2,87195.0,0,0,8.0,35,1,63
105,1,4,24594.0,1,0,8.0,94,0,43
106,2,2,49096.0,1,1,8.0,15,0,58
107,2,2,52413.0,0,2,9.0,56,0,53
108,2,3,38557.0,1,0,9.0,17,0,44
109,3,2,89058.0,0,0,9.0,18,0,62
110,2,4,77298.0,0,1,8.0,46,0,43
111,4,3,68126.0,0,0,9.0,40,1,31
112,3,4,57288.0,0,1,7.0,27,1,59
113,2,3,86037.0,0,0,9.0,95,1,31
114,4,2,43974.0,1,0,9.0,19,0,42
115,2,3,50785.0,1,1,8.0,27,0,60
116,2,2,90765.0,0,0,8.0,25,1,52
117,0,2,36550.0,1,0,9.0,74,0,44
118,0,4,30753.0,1,1,8.0,85,0,55
119,2,4,21918.0,1,0,8.0,37,0,53
120,3,4,56129.0,0,1,8.0,65,0,69
121,3,3,32557.0,1,0,8.0,13,1,55
122,3,2,19510.0,2,0,8.0,63,0,37
123,2,1,30992.0,1,0,9.0,83,0,46
124,2,3,101970.0,0,0,9.0,69,1,39
125,0,4,71488.0,0,0,9.0,87,0,57
126,2,3,79607.0,0,0,9.0,37,1,38
127,3,2,54348.0,1,1,7.0,51,0,69
129,4,4,77376.0,1,1,8.0,72,0,66
130,2,2,62998.0,0,1,8.0,10,0,70
131,3,3,61331.0,1,1,9.0,42,0,64
132,2,2,73448.0,0,0,8.0,10,0,53
134,4,2,41551.0,1,1,8.0,51,0,58
135,4,4,62981.0,0,0,9.0,21,1,55
136,1,1,9548.0,1,0,9.0,31,0,46
137,4,2,33762.0,2,1,8.0,61,0,63
138,4,3,35860.0,1,1,8.0,37,1,49
139,4,1,36921.0,1,1,8.0,74,0,57
140,3,3,92859.0,0,0,9.0,46,0,30
141,3,4,65104.0,0,1,8.0,4,1,46
142,2,2,86111.0,0,0,9.0,73,0,60
143,4,3,68352.0,0,1,8.0,47,0,48
144,2,4,41883.0,1,0,9.0,13,0,34
145,2,2,59809.0,0,2,9.0,36,0,46
146,2,2,23957.0,1,0,9.0,47,1,47
147,2,4,38547.0,1,0,8.0,49,0,41
148,0,2,35688.0,2,1,9.0,94,0,49
149,3,2,49605.0,0,0,7.0,65,0,56
150,3,2,59354.0,0,2,8.0,59,0,69
151,2,2,65747.0,0,1,8.0,96,1,53
152,0,4,46344.0,0,1,9.0,28,0,50
153,2,3,34176.0,1,0,8.0,12,0,34
154,4,4,61010.0,0,1,9.0,57,0,70
155,2,4,69372.0,0,0,9.0,10,1,73
156,2,3,49967.0,0,1,8.0,4,0,64
157,2,3,60199.0,1,2,8.0,49,0,44
158,2,4,55375.0,0,1,8.0,3,0,45
159,2,3,80317.0,0,0,8.0,64,0,67
160,3,3,30523.0,2,1,8.0,0,0,64
161,4,2,70356.0,0,0,9.0,20,0,77
162,2,2,23228.0,1,0,8.0,91,0,38
163,4,1,74165.0,0,0,9.0,9,0,47
165,2,4,43482.0,2,1,8.0,83,0,56
166,2,1,62551.0,0,0,8.0,27,1,69
167,2,1,52332.0,0,0,8.0,63,1,63
168,2,3,66951.0,0,0,8.0,46,0,34
169,2,4,26091.0,1,1,8.0,84,0,65
170,2,4,33456.0,1,1,8.0,58,0,57
171,2,2,28718.0,1,0,8.0,78,0,40
172,2,2,50447.0,2,0,8.0,4,0,52
173,4,4,53537.0,1,1,8.0,17,0,63
174,2,3,52074.0,0,1,8.0,77,1,55
175,4,2,80427.0,0,1,9.0,56,0,47
176,4,2,83837.0,0,0,9.0,79,1,74
177,4,2,38853.0,1,1,7.0,90,0,52
178,2,4,38285.0,2,1,7.0,96,0,63
179,0,2,78497.0,0,0,8.0,44,1,71
180,4,2,51650.0,0,1,8.0,81,0,46
181,0,2,16248.0,1,0,8.0,77,0,34
182,3,2,66835.0,0,0,8.0,21,0,76
183,3,2,30477.0,1,0,8.0,16,0,38
184,1,2,28249.0,0,0,7.0,80,0,61
185,2,2,25271.0,1,0,9.0,45,0,39
186,4,3,32303.0,0,1,8.0,63,0,52
187,2,2,61286.0,0,1,8.0,34,0,56
188,2,2,74068.0,0,0,9.0,14,0,46
189,4,2,45759.0,1,1,9.0,13,0,58
190,1,4,24882.0,1,0,9.0,52,1,44
191,4,4,66973.0,0,0,9.0,98,0,33
193,2,2,38872.0,1,0,8.0,93,0,34
194,2,2,51148.0,1,1,9.0,38,0,49
195,2,2,31353.0,1,1,8.0,24,0,45
196,3,2,69661.0,0,0,8.0,80,0,42
197,2,2,80067.0,0,0,8.0,82,1,68
198,2,2,86718.0,0,0,9.0,20,0,68
199,4,3,46854.0,1,1,8.0,81,1,49
200,2,1,69142.0,0,1,7.0,50,1,70
201,2,3,75922.0,0,0,8.0,60,0,54
202,2,1,63693.0,0,1,8.0,63,0,44
203,4,4,102160.0,0,0,9.0,54,1,45
204,4,3,40637.0,1,1,8.0,72,0,57
205,3,3,18890.0,0,0,9.0,5,1,38
206,2,4,29604.0,1,0,8.0,88,1,34
207,3,1,48721.0,1,1,9.0,50,0,59
208,2,2,44794.0,0,1,7.0,99,0,56
209,2,1,64497.0,0,1,9.0,17,1,68
210,2,4,46097.0,0,1,9.0,11,0,66
211,2,4,77972.0,0,0,8.0,18,0,68
212,4,2,44377.0,1,1,9.0,70,0,54
213,3,4,46014.0,1,1,9.0,21,0,48
214,2,2,70951.0,0,0,9.0,66,0,37
215,2,2,41443.0,1,0,8.0,79,0,45
216,0,3,52195.0,2,1,8.0,2,0,44
217,3,2,83790.0,0,0,8.0,81,1,74
218,3,5,44551.0,0,1,8.0,24,0,68
219,2,4,69508.0,1,0,9.0,48,0,42
220,0,4,45204.0,1,0,8.0,93,0,34
221,2,2,72460.0,0,0,8.0,56,0,53
222,4,4,77622.0,0,2,8.0,3,0,52
223,4,2,30732.0,1,0,9.0,44,0,42
224,2,1,63887.0,0,1,9.0,38,0,60
225,2,4,42011.0,1,0,9.0,46,0,44
226,2,4,51369.0,0,1,9.0,84,0,46
227,2,1,51537.0,0,1,9.0,27,0,70
228,4,2,79930.0,0,0,9.0,72,0,50
229,4,4,34320.0,1,0,8.0,66,0,36
230,2,3,37070.0,1,1,9.0,30,1,56
231,0,1,81975.0,0,1,9.0,2,1,60
232,2,4,38590.0,1,0,9.0,65,0,51
233,2,3,15033.0,0,0,8.0,37,0,71
234,4,2,62745.0,0,1,9.0,89,0,57
235,0,2,22212.0,1,0,8.0,49,0,47
236,3,4,23661.0,1,0,8.0,46,0,40
237,4,3,79761.0,0,1,8.0,32,0,64
238,2,3,7500.0,1,0,8.0,54,0,49
240,2,5,73455.0,0,0,8.0,98,1,54
241,2,4,64961.0,0,1,9.0,97,0,64
242,2,3,22804.0,1,0,8.0,75,0,51
243,2,2,73687.0,0,0,8.0,8,1,32
244,2,2,61074.0,0,1,9.0,37,0,64
245,4,2,31686.0,1,1,7.0,31,0,58
246,2,2,80134.0,1,0,9.0,40,1,50
247,2,2,75027.0,0,1,9.0,74,0,69
248,4,2,67546.0,0,0,9.0,90,0,34
249,3,4,65176.0,0,1,9.0,57,0,53
250,3,3,31160.0,1,0,8.0,59,0,47
251,2,3,29938.0,1,0,8.0,52,0,37
252,2,1,102692.0,0,0,9.0,5,1,48
253,0,4,26490.0,0,0,9.0,92,0,64
254,2,4,75702.0,1,1,9.0,77,0,55
255,4,3,30899.0,1,0,9.0,35,0,48
256,4,4,63342.0,0,1,9.0,48,1,61
257,2,3,45989.0,0,1,9.0,97,0,58
258,2,3,18701.0,1,1,8.0,95,0,58
259,4,3,40737.0,2,1,8.0,24,0,65
260,2,1,15287.0,1,0,9.0,60,1,43
261,4,1,69674.0,0,2,8.0,46,0,54
262,3,2,44159.0,1,0,7.0,85,0,52
263,4,2,37717.0,1,0,9.0,31,0,44
264,3,4,43776.0,1,1,9.0,9,1,70
265,3,2,38179.0,1,1,9.0,30,0,56
266,2,2,80124.0,0,0,7.0,47,1,59
267,4,2,38097.0,1,1,9.0,70,1,52
268,2,2,72940.0,0,0,8.0,13,0,52
269,2,4,22070.0,1,0,8.0,11,0,52
270,2,3,69267.0,0,0,9.0,31,1,69
271,3,3,31788.0,1,0,8.0,15,0,39
272,4,4,61905.0,0,1,8.0,2,0,47
273,2,2,29315.0,1,1,8.0,55,0,62
274,2,1,33378.0,1,1,9.0,38,0,59
275,4,4,66313.0,0,1,8.0,86,0,59
276,2,3,60714.0,0,0,9.0,56,1,66
277,3,4,77882.0,0,0,8.0,29,0,41
278,4,3,69867.0,0,0,9.0,30,1,36
279,3,1,63841.0,0,1,9.0,64,0,54
280,1,2,24480.0,1,0,9.0,46,0,41
281,2,4,51369.0,0,1,9.0,84,0,46
282,2,4,37760.0,0,0,9.0,20,0,76
283,4,4,65640.0,0,1,8.0,74,0,48
284,3,2,44319.0,1,1,8.0,18,0,47
285,2,2,30631.0,1,0,8.0,75,0,48
286,2,4,75278.0,0,0,9.0,17,0,70
287,3,4,50898.0,1,1,9.0,88,0,66
288,2,5,79946.0,0,0,8.0,19,0,56
289,3,1,35416.0,0,0,8.0,62,0,73
290,0,4,32414.0,0,0,8.0,11,1,38
291,2,4,38361.0,1,0,8.0,74,0,53
292,2,2,82497.0,0,0,9.0,32,1,42
293,2,4,16626.0,2,0,8.0,76,0,51
294,2,4,29672.0,1,1,9.0,6,0,57
295,3,4,55951.0,0,1,9.0,62,1,70
296,0,1,35388.0,1,0,9.0,20,0,34
297,3,4,42386.0,1,0,9.0,43,0,36
298,2,3,68627.0,0,0,9.0,45,0,40
299,4,1,57912.0,0,1,8.0,34,1,57
300,2,1,35246.0,1,1,8.0,53,0,64
301,0,4,58821.0,0,1,8.0,44,0,66
302,4,2,46377.0,1,0,8.0,89,0,44
303,2,3,39747.0,1,0,8.0,43,0,34
304,2,4,23976.0,1,0,8.0,68,0,38
305,3,2,80950.0,0,0,9.0,44,1,61
306,2,5,27038.0,0,0,9.0,64,1,56
307,2,3,77457.0,0,0,8.0,85,1,75
308,3,2,64100.0,0,1,8.0,93,1,58
309,3,4,42670.0,0,0,9.0,12,0,30
310,2,1,12571.0,1,0,8.0,86,0,46
311,2,2,22574.0,2,1,8.0,28,0,55
313,3,3,70893.0,0,0,9.0,42,0,46
314,2,2,54198.0,1,1,8.0,13,0,56
315,3,4,28839.0,1,1,8.0,86,0,66
316,2,2,40321.0,1,1,8.0,59,0,50
317,2,3,66503.0,1,0,9.0,30,0,37
318,2,2,30833.0,1,1,8.0,33,0,71
320,2,2,64795.0,0,1,9.0,23,0,51
321,2,2,34421.0,1,0,8.0,81,0,48
322,4,1,47025.0,1,1,8.0,6,0,57
323,4,1,64325.0,0,1,9.0,41,0,61
324,2,3,40464.0,0,1,9.0,78,0,69
325,2,2,62187.0,0,0,8.0,49,0,65
326,4,1,14849.0,1,0,8.0,39,0,46
327,2,2,27255.0,1,0,8.0,3,0,38
328,4,2,54432.0,2,1,9.0,37,0,72
329,4,3,29999.0,1,0,9.0,22,0,36
330,2,3,24072.0,1,0,9.0,79,0,39
331,4,3,33996.0,0,0,8.0,46,0,33
332,4,2,66334.0,0,1,9.0,82,1,66
333,3,2,35178.0,1,0,9.0,10,1,51
334,2,4,22010.0,1,0,8.0,51,0,39
335,2,1,62204.0,0,2,9.0,38,0,62
336,2,1,75693.0,0,0,9.0,10,1,54
337,2,2,30675.0,1,0,9.0,14,0,50
338,2,4,83003.0,0,0,9.0,18,1,57
340,2,3,68655.0,0,0,9.0,95,0,34
341,2,1,41411.0,0,0,8.0,11,0,36
342,4,2,55212.0,0,1,9.0,65,1,53
343,4,4,59292.0,0,1,8.0,71,0,72
344,1,4,27190.0,1,0,8.0,13,1,49
345,2,1,82623.0,0,0,8.0,58,0,70
346,2,2,44300.0,1,1,8.0,65,0,57
347,2,1,84835.0,0,0,7.0,0,1,52
348,2,5,30372.0,1,1,9.0,33,0,51
349,3,2,33181.0,1,0,8.0,90,1,46
350,2,2,71113.0,0,1,8.0,95,0,65
351,2,2,71952.0,1,0,9.0,93,1,36
352,4,3,69759.0,0,0,8.0,38,1,56
353,2,2,72099.0,0,0,9.0,18,0,48
354,4,3,60000.0,0,1,9.0,57,0,46
355,2,3,38643.0,1,1,8.0,45,0,44
356,2,2,50737.0,0,1,9.0,61,1,67
357,4,2,68462.0,0,0,9.0,6,0,53
358,3,2,65073.0,0,0,8.0,65,0,79
359,4,4,46681.0,0,2,8.0,52,0,74
360,2,2,78618.0,0,0,9.0,87,1,65
361,4,5,62187.0,0,1,8.0,38,0,53
362,2,2,28442.0,2,0,8.0,53,0,44
363,4,2,37717.0,1,0,9.0,31,0,44
364,2,2,51479.0,1,1,9.0,67,0,55
365,2,3,54803.0,0,1,9.0,65,0,53
366,2,2,79530.0,0,0,9.0,64,0,62
367,2,1,31615.0,1,0,9.0,82,0,46
368,2,4,72025.0,0,0,9.0,27,0,60
369,4,3,52614.0,0,1,9.0,63,0,47
370,0,2,35684.0,1,0,8.0,66,0,38
371,2,2,48178.0,1,1,9.0,69,0,47
372,3,3,29548.0,1,0,8.0,52,1,52
373,2,3,63810.0,0,1,9.0,45,1,56
374,4,3,38578.0,1,1,8.0,2,1,50
375,3,3,46098.0,1,1,9.0,86,0,47
376,2,3,22585.0,0,0,9.0,23,1,52
377,2,3,30279.0,1,0,9.0,13,0,33
378,4,4,66426.0,0,1,8.0,14,0,61
379,2,3,30822.0,1,0,8.0,92,0,53
380,4,2,33581.0,2,0,9.0,38,0,53
381,2,2,19986.0,1,0,8.0,74,0,37
382,2,5,27421.0,0,0,9.0,14,0,68
383,0,2,35688.0,2,1,9.0,94,0,49
384,3,3,36143.0,1,0,8.0,33,0,41
385,2,3,10245.0,1,0,9.0,32,0,51
386,3,4,43795.0,0,1,8.0,11,1,54
387,2,4,63381.0,0,1,9.0,78,0,62
388,2,4,38823.0,0,1,9.0,56,0,73
389,4,1,83664.0,1,1,9.0,57,0,54
390,2,4,90300.0,0,0,8.0,7,1,43
391,3,4,62499.0,1,0,8.0,0,0,43
392,2,3,74293.0,0,0,8.0,66,0,29
393,4,2,51012.0,0,0,9.0,86,0,76
394,3,2,70777.0,0,1,8.0,80,0,54
395,4,4,68682.0,0,0,8.0,56,0,31
396,2,2,43824.0,1,1,9.0,18,0,51
397,2,4,15345.0,1,0,9.0,51,1,38
398,2,3,23442.0,1,0,9.0,71,0,35
399,0,4,14515.0,1,0,9.0,71,1,42
400,0,1,31395.0,1,1,9.0,80,0,66
401,2,4,75276.0,0,0,9.0,2,0,57
402,2,3,42373.0,1,1,8.0,83,0,48
403,2,4,30507.0,0,0,9.0,29,0,62
404,4,3,55521.0,1,2,8.0,11,1,67
405,2,2,48006.0,1,1,7.0,55,0,57
406,4,3,27213.0,1,0,9.0,19,1,50
407,4,1,65808.0,1,1,7.0,1,0,51
408,4,4,30351.0,1,0,8.0,19,0,48
409,2,2,50437.0,0,2,9.0,28,0,59
410,0,3,23616.0,1,0,9.0,76,1,40
411,2,2,53858.0,0,1,9.0,50,0,46
412,4,2,66465.0,0,1,9.0,1,1,67
413,2,3,46923.0,1,0,9.0,90,0,35
414,2,4,75072.0,0,1,9.0,83,0,60
415,4,2,75865.0,0,0,8.0,73,0,79
416,0,4,19789.0,1,0,8.0,24,1,47
417,2,4,80134.0,0,0,8.0,11,1,28
418,2,3,91065.0,0,0,9.0,33,1,41
419,3,2,49505.0,1,1,9.0,4,0,51
420,4,2,37401.0,1,0,8.0,14,0,49
421,2,2,30096.0,1,0,7.0,30,0,39
422,3,4,18492.0,1,0,7.0,75,0,40
423,3,2,82584.0,0,0,8.0,26,1,48
424,4,2,93027.0,0,0,9.0,77,1,81
425,2,2,48686.0,1,2,8.0,8,0,69
426,2,2,92910.0,0,0,8.0,42,1,36
427,2,2,75433.0,1,0,8.0,28,1,33
428,0,4,10404.0,1,0,8.0,52,0,33
429,2,2,61314.0,0,1,9.0,1,0,54
430,4,3,84865.0,0,0,9.0,1,1,61
431,2,2,42387.0,1,0,9.0,42,0,33
432,0,4,67309.0,1,1,9.0,76,0,55
433,2,2,75236.0,0,1,8.0,27,0,58
434,2,3,30015.0,1,0,8.0,28,0,52
435,3,4,50943.0,0,1,8.0,49,0,66
436,2,1,67272.0,0,1,8.0,12,0,56
437,3,5,51529.0,0,1,8.0,14,0,73
438,4,2,32011.0,1,0,8.0,89,0,51
439,0,2,7500.0,1,0,9.0,96,0,36
440,2,2,28691.0,1,0,8.0,56,0,33
441,4,2,56223.0,0,1,8.0,72,0,74
442,2,2,18100.0,0,0,8.0,14,0,76
443,2,3,30279.0,1,0,9.0,13,0,33
444,0,2,20130.0,0,0,8.0,99,0,48
445,2,1,23295.0,0,0,8.0,72,0,63
446,3,1,42618.0,1,0,8.0,92,0,50
447,2,3,81246.0,0,0,8.0,87,1,58
448,2,2,24027.0,1,0,8.0,7,0,46
449,4,2,55707.0,0,1,8.0,91,0,69
450,2,3,57959.0,0,1,9.0,71,0,67
451,2,2,56796.0,0,1,9.0,24,0,53
452,3,3,36230.0,1,0,8.0,17,0,51
453,0,2,70829.0,1,1,8.0,87,0,42
454,2,2,65991.0,0,1,9.0,21,0,46
455,2,2,38988.0,1,2,9.0,90,0,50
456,0,3,89572.0,0,0,9.0,44,1,56
457,3,2,42207.0,1,0,9.0,71,1,38
458,2,2,50300.0,0,1,7.0,52,0,70
459,0,4,66664.0,0,0,9.0,78,0,40
460,2,2,60597.0,0,1,8.0,2,1,58
461,2,5,70165.0,0,0,8.0,60,0,73
462,4,5,50520.0,0,1,8.0,25,0,64
463,2,2,80124.0,0,0,7.0,47,1,59
464,2,2,33183.0,1,0,8.0,46,0,47
465,4,3,66582.0,0,0,8.0,83,0,53
